full_id;title;desc;pdf_url
r21-304;Après le choc de la crise sanitaire, réinvestir la santé mentale;Rapport d'information de M. Jean SOL et Mme Victoire JASMIN, fait au nom de la commission des affaires sociales;http://www.senat.fr/rap/r21-304/r21-3041.pdf
r21-298;Ne laissons pas les Britanniques faire des pêcheurs français les victimes collatérales du Brexit;Rapport d'information de M. Alain CADEC, fait au nom de la commission des affaires européennes et de la commission des affaires économiques;http://www.senat.fr/rap/r21-298/r21-2981.pdf
r21-297;Panne des appels d'urgence : quels enseignements ?;Rapport d'information de M. Patrick CHAIZE, Mme Françoise DUMONT, MM. Loïc HERVÉ, Jean-Michel HOULLEGATTE, Patrick KANNER, Mme Marie-Pierre RICHER et M. Jean Pierre VOGEL, fait au nom de la commission de l'aménagement du territoire et du développement durable, de la commission des affaires économiques, de la commission des finances, de la commission des lois et de la commission des affaires sociales;http://www.senat.fr/rap/r21-297/r21-2971.pdf
r21-293;Cérémonie de remise du Prix 2021 de la délégation aux droits des femmes;Rapport d'information de Mme Annick BILLON, fait au nom de la délégation aux droits des femmes;http://www.senat.fr/rap/r21-293/r21-2931.pdf
r21-287;Les équilibres psychosociaux à l'épreuve de la Covid-19;Note scientifique de l'Office de Mme Michelle MEUNIER et M. Pierre OUZOULIAS, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-287/r21-2871.pdf
r21-286;Le déclin des insectes;Note scientifique de l'Office de Mme Annick JACQUEMET, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-286/r21-2861.pdf
r21-285;Le stockage de données sous la forme d'ADN;Note scientifique de l'Office de M. Ludovic HAYE, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-285/r21-2851.pdf
r21-283;Les collectivités territoriales face au défi de la cybersécurité;Rapport d'information de M. Serge BABARY et Mme Françoise GATEL, fait au nom de la délégation aux entreprises et de la délégation aux collectivités territoriales;http://www.senat.fr/rap/r21-283/r21-2831.pdf
r21-279;Bilan des négociations climatiques de Glasgow (COP26);Rapport d'information de MM. Didier MANDELLI, Guillaume CHEVROLLIER et Ronan DANTEC, fait au nom de la commission de l'aménagement du territoire et du développement durable;http://www.senat.fr/rap/r21-279/r21-2791.pdf
r21-274;Amplifier la législation européenne sur les services numériques (DSA) pour sécuriser l'environnement en ligne;Rapport d'information de Mmes Florence BLATRIX CONTAT et Catherine MORIN-DESAILLY, fait au nom de la commission des affaires européennes;http://www.senat.fr/rap/r21-274/r21-2741.pdf
r21-264;Pour un financement des petites associations à la hauteur : rénover le Fonds pour le développement de la vie associative;Rapport d'information de M. Éric JEANSANNETAS, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-264/r21-2641.pdf
r21-259;Les outils de visioconférence : risques et opportunités;Note scientifique de l'Office de M. Ronan LE GLEUT, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-259/r21-2591.pdf
r21-258;Le biomimétisme;Note scientifique de l'Office de Mme Huguette TIEGNA, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-258/r21-2581.pdf
r21-257;La qualité de l'air et Covid-19 : quelles interactions ?;Rapport de Mme Angèle PRÉVILLE, sénatrice et M. Jean-Luc FUGIT, député, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-257/r21-2571.pdf
r21-219;Coordination du travail gouvernemental (cyberdéfense, SGDSN);Rapport d'information de MM. Olivier CADIC et Mickaël VALLET, fait au nom de la commission des affaires étrangères, de la défense et des forces armées;http://www.senat.fr/rap/r21-219/r21-2191.pdf
r21-218;Soutien de la politique de la défense;Rapport d'information de M. Joël GUERRIAU et Mme Marie-Arlette CARLOTTI, fait au nom de la commission des affaires étrangères, de la défense et des forces armées;http://www.senat.fr/rap/r21-218/r21-2181.pdf
r21-217;Environnement et prospective de la politique de défense;Rapport d'information de MM. Pascal ALLIZARD et Yannick VAUGRENARD, fait au nom de la commission des affaires étrangères, de la défense et des forces armées;http://www.senat.fr/rap/r21-217/r21-2171.pdf
r21-216;Préparation et emploi des forces;Rapport d'information de M. Olivier CIGOLOTTI et Mme Michelle GRÉAUME, fait au nom de la commission des affaires étrangères, de la défense et des forces armées;http://www.senat.fr/rap/r21-216/r21-2161.pdf
r21-215;Équipement des forces;Rapport d'information de M. Cédric PERRIN et Mme Hélène CONWAY-MOURET, fait au nom de la commission des affaires étrangères, de la défense et des forces armées;http://www.senat.fr/rap/r21-215/r21-2151.pdf
r21-213;L'inclusion de l'énergie nucléaire dans la taxonomie européenne des activités durables;Rapport d'information de MM. Daniel GREMILLET, Claude KERN et Pierre LAURENT, fait au nom de la commission des affaires européennes;http://www.senat.fr/rap/r21-213/r21-2131.pdf
r21-212;Une stabilité budgétaire plus inquiétante que rassurante pour les opérateurs de l'action culturelle extérieure;Rapport d'information de M. Claude KERN, fait au nom de la commission de la culture, de l'éducation et de la communication;http://www.senat.fr/rap/r21-212/r21-2121.pdf
r21-211;Un cinéma à la reconquête de son public;Rapport d'information de M. Jérémy BACCHI, fait au nom de la commission de la culture, de l'éducation et de la communication;http://www.senat.fr/rap/r21-211/r21-2111.pdf
r21-210;Garantir au patrimoine un avenir;Rapport d'information de Mme Sabine DREXLER, fait au nom de la commission de la culture, de l'éducation et de la communication;http://www.senat.fr/rap/r21-210/r21-2101.pdf
r21-209;Le secteur culturel au défi de la crise sanitaire;Rapport d'information de Mme Sylvie ROBERT, fait au nom de la commission de la culture, de l'éducation et de la communication;http://www.senat.fr/rap/r21-209/r21-2091.pdf
r21-208;Participations financières de l'État;Rapport d'information de Mme Martine BERTHET, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-208/r21-2081.pdf
r21-207;Cohésion des territoires (Politique de la ville);Rapport d'information de Mme Viviane ARTIGALAS, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-207/r21-2071.pdf
r21-206;Cohésion des territoires (Logement);Rapport d'information de Mme Dominique ESTROSI SASSONE, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-206/r21-2061.pdf
r21-205;Recherche et enseignement supérieur;Rapport d'information de M. Jean-Pierre MOGA, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-205/r21-2051.pdf
r21-204;Outre-mer;Rapport d'information de Mme Micheline JACQUES, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-204/r21-2041.pdf
r21-203;Plan de relance;Rapport d'information de Mme Anne CHAIN-LARCHÉ, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-203/r21-2031.pdf
r21-202;Économie;Rapport d'information de M. Serge BABARY, Mme Anne-Catherine LOISIER et M. Franck MONTAUGÉ, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-202/r21-2021.pdf
r21-201;Écologie, développement et mobilité durables (Énergie);Rapport d'information de M. Daniel GREMILLET, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-201/r21-2011.pdf
r21-200;Agriculture, alimentation, forêt et affaires rurales;Rapport d'information de M. Laurent DUPLOMB, Mme Françoise FÉRAT et M. Jean-Claude TISSOT, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-200/r21-2001.pdf
r21-199;Sécurités;Rapport d'information de M. Henri LEROY, fait au nom de la commission des lois;http://www.senat.fr/rap/r21-199/r21-1991.pdf
r21-198;Pouvoirs publics;Rapport d'information de M. Jean-Pierre SUEUR, fait au nom de la commission des lois;http://www.senat.fr/rap/r21-198/r21-1981.pdf
r21-197;Juridictions administratives et juridictions financières;Rapport d'information de M. Guy BENARROCHE, fait au nom de la commission des lois;http://www.senat.fr/rap/r21-197/r21-1971.pdf
r21-196;Fonction publique;Rapport d'information de Mme Catherine DI FOLCO, fait au nom de la commission des lois;http://www.senat.fr/rap/r21-196/r21-1961.pdf
